Anime_Title,Ratings,Year_Active,Genres
Shingeki no Kyojin,9.0,2013–2023,"Animation, Action, Adventure            "
One Piece: Wan pîsu,8.8,1999– ,"Animation, Action, Adventure            "
Spy x Family,9.0,2022– ,"Animation, Action, Comedy            "
Demon Slayer: Kimetsu No Yaiba,8.7,2019– ,"Animation, Action, Adventure            "
Bubble,6.4,2022,"Animation, Action, Adventure            "
Naruto,8.4,2002–2007,"Animation, Action, Adventure            "
Naruto: Shippûden,8.7,2007–2017,"Animation, Action, Adventure            "
Boku no hîrô akademia,8.4,2016– ,"Animation, Action, Adventure            "
Jujutsu Kaisen,8.6,2020– ,"Animation, Action, Adventure            "
Sen to Chihiro no kamikakushi,8.6,2001,"Animation, Adventure, Family            "
Hunter x Hunter,9.0,2011–2014,"Animation, Action, Adventure            "
Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,8.5,2019– ,"Animation, Comedy, Romance            "
Hagane no renkinjutsushi,9.1,2009–2012,"Animation, Action, Adventure            "
Death Note: Desu nôto,9.0,2006–2007,"Animation, Crime, Drama            "
JoJo no kimyô-na bôken,8.4,2012– ,"Animation, Action, Adventure            "
Black Clover,8.3,2017–2021,"Animation, Action, Adventure            "
Hauru no ugoku shiro,8.2,2004,"Animation, Adventure, Family            "
Ryû to sobakasu no hime,7.2,2021,"Animation, Adventure, Drama            "
Kimi no na wa.,8.4,2016,"Animation, Drama, Fantasy            "
Boruto: Naruto Next Generations,6.9,2017– ,"Animation, Action, Adventure            "
Dragon Ball Z,8.8,1989–2003,"Animation, Action, Adventure            "
Gekijouban Jujutsu Kaisen 0,7.9,2021,"Animation, Action, Fantasy            "
Bleach: Burîchi,8.2,2004–2012,"Animation, Action, Adventure            "
One Punch Man: Wanpanman,8.7,2015–2019,"Animation, Action, Comedy            "
High School DxD,7.6,2012–2018,"Animation, Action, Comedy            "
Kenpû Denki Berserk,8.7,1997–1998,"Animation, Action, Adventure            "
Sono Bisque Doll wa Koi wo Suru,8.2,2022– ,"Animation, Comedy, Romance            "
Hotaru no haka,8.5,1988,"Animation, Drama, War            "
Tate no Yuusha no Nariagari,8.1,2019– ,"Animation, Action, Adventure            "
Kaubôi bibappu,8.9,1998–1999,"Animation, Action, Adventure            "
Vinland Saga,8.8,2019– ,"Animation, Action, Adventure            "
Poketto monsutâ,7.5,1997– ,"Animation, Action, Adventure            "
Mononoke-hime,8.4,1997,"Animation, Action, Adventure            "
Gintama,8.7,2005–2018,"Animation, Action, Comedy            "
Ghost in the Shell SAC_2045,6.2,2020– ,"Animation, Action, Crime            "
"Komi-san wa, Komyushou Desu.",7.8,2021– ,"Animation, Comedy, Drama            "
Shin seiki evangerion,8.5,1995–1996,"Animation, Action, Drama            "
Tokyo Revengers,8.1,2021– ,"Animation, Action, Drama            "
Haikyuu!!,8.8,2014–2020,"Animation, Comedy, Drama            "
Monster,8.7,2004–2010,"Animation, Crime, Drama            "
Akira,8.0,1988,"Animation, Action, Drama            "
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,8.7,2006–2012,"Animation, Action, Drama            "
Nanatsu no taizai,7.9,2014–2021,"Animation, Action, Adventure            "
Tonari no Totoro,8.1,1988,"Animation, Comedy, Family            "
Yakusoku no Neverland,8.4,2019–2021,"Animation, Action, Adventure            "
Kimetsu no Yaiba: Mugen Ressha-Hen,8.2,2020,"Animation, Action, Adventure            "
Tokyo Ghoul,7.8,2014,"Animation, Action, Drama            "
Sword Art Online,7.6,2012– ,"Animation, Action, Adventure            "
Pâfekuto burû,8.0,1997,"Animation, Crime, Drama            "
Mushoku-tensei ~Isekai ittara honki dasu~,8.4,2021– ,"Animation, Action, Adventure            "
